iter	Passed	Remaining
701	1111	472
702	1113	470
703	1114	468
704	1115	466
705	1117	465
706	1118	463
707	1119	461
708	1120	459
709	1121	457
710	1122	456
711	1123	454
712	1124	452
713	1126	451
714	1126	449
715	1128	447
716	1129	445
717	1130	444
718	1131	442
719	1133	440
720	1134	438
721	1135	437
722	1136	435
723	1138	433
724	1139	432
725	1140	430
726	1141	428
727	1142	427
728	1144	425
729	1145	423
730	1146	421
731	1147	420
732	1148	418
733	1149	416
734	1150	414
735	1151	413
736	1152	411
737	1153	409
738	1154	407
739	1155	406
740	1157	404
741	1158	402
742	1159	401
743	1160	399
744	1162	397
745	1163	396
746	1164	394
747	1165	392
748	1167	391
749	1168	389
750	1169	387
751	1171	386
752	1172	384
753	1173	382
754	1175	381
755	1176	379
756	1177	378
757	1178	376
758	1180	374
759	1181	373
760	1182	371
761	1183	369
762	1185	368
763	1186	366
764	1187	364
765	1189	363
766	1189	361
767	1191	359
768	1192	358
769	1193	356
770	1194	354
771	1195	353
772	1197	351
773	1198	349
774	1199	348
775	1201	346
776	1202	345
777	1203	343
778	1204	341
779	1205	340
780	1207	338
781	1208	336
782	1209	335
783	1210	333
784	1212	332
785	1213	330
786	1214	328
787	1215	327
788	1217	325
789	1218	323
790	1219	322
791	1220	320
792	1221	318
793	1223	317
794	1224	315
795	1225	314
796	1227	312
797	1228	310
798	1229	309
799	1230	307
800	1232	306
801	1233	304
802	1234	302
803	1236	301
804	1237	299
805	1238	298
806	1240	296
807	1241	294
808	1242	293
809	1243	291
810	1244	290
811	1246	288
812	1247	286
813	1249	285
814	1249	283
815	1250	282
816	1252	280
817	1253	278
818	1254	277
819	1256	275
820	1257	274
821	1258	272
822	1259	270
823	1261	269
824	1262	267
825	1263	266
826	1265	264
827	1266	263
828	1267	261
829	1269	259
830	1270	258
831	1271	256
832	1272	255
833	1273	253
834	1275	252
835	1276	250
836	1278	248
837	1279	247
838	1280	245
839	1282	244
840	1283	242
841	1284	241
842	1286	239
843	1287	237
844	1288	236
845	1289	234
846	1291	233
847	1292	231
848	1293	230
849	1295	228
850	1296	227
851	1297	225
852	1299	223
853	1300	222
854	1301	220
855	1303	219
856	1304	217
857	1305	216
858	1306	214
859	1308	212
860	1309	211
861	1311	209
862	1312	208
863	1313	206
864	1315	205
865	1316	203
866	1317	202
867	1319	200
868	1320	199
869	1321	197
870	1323	195
871	1324	194
872	1325	192
873	1327	191
874	1328	189
875	1329	188
876	1331	186
877	1332	185
878	1333	183
879	1334	182
880	1335	180
881	1337	178
882	1338	177
883	1339	175
884	1341	174
885	1342	172
886	1343	171
887	1345	169
888	1346	168
889	1348	166
890	1349	165
891	1350	163
892	1352	162
893	1353	160
894	1354	158
895	1356	157
896	1357	155
897	1359	154
898	1360	152
899	1361	151
900	1363	149
901	1364	148
902	1365	146
903	1367	145
904	1368	143
905	1369	142
906	1371	140
907	1372	139
908	1373	137
909	1374	135
910	1376	134
911	1377	132
912	1378	131
913	1379	129
914	1380	128
915	1382	126
916	1383	125
917	1384	123
918	1386	122
919	1387	120
920	1388	119
921	1389	117
922	1391	116
923	1392	114
924	1393	112
925	1394	111
926	1395	109
927	1397	108
928	1398	106
929	1399	105
930	1400	103
931	1402	102
932	1403	100
933	1404	99
934	1406	97
935	1407	96
936	1408	94
937	1409	93
938	1411	91
939	1412	90
940	1413	88
941	1414	87
942	1415	85
943	1417	84
944	1418	82
945	1420	81
946	1421	79
947	1422	78
948	1423	76
949	1424	74
950	1426	73
951	1427	71
952	1428	70
953	1429	68
954	1431	67
955	1432	65
956	1433	64
957	1435	62
958	1436	61
959	1437	59
960	1439	58
961	1440	56
962	1441	55
963	1442	53
964	1444	52
965	1445	50
966	1446	49
967	1447	47
968	1449	46
969	1450	44
970	1451	43
971	1452	41
972	1454	40
973	1455	38
974	1456	37
975	1457	35
976	1458	34
977	1460	32
978	1461	31
979	1462	29
980	1464	28
981	1465	26
982	1466	25
983	1468	23
984	1469	22
985	1470	20
986	1471	19
987	1473	17
988	1474	16
989	1475	14
990	1477	13
991	1478	11
992	1480	10
993	1481	8
994	1482	7
995	1483	5
996	1485	4
997	1486	2
998	1487	1
999	1488	0
